CompanyID	Userid_login	LdapCompanyTypeAttribute
2147	MHILL1234	WTYD,RESD,CSLD
2147	rginter	WTYD,RESD,CSLD
2147	smorris6	WTYD,RESD,CSLD
2147	vgraves	WTYD,RESD,CSLD
2149	panderso11	RESD,CSLD
2150	bstoll	WTYD,RESD,CSLD
2150	cmaynard	WTYD,RESD,CSLD
2150	csheets3	WTYD,RESD,CSLD
2150	jcole12	WTYD,RESD,CSLD
2150	jgunn1	WTYD,RESD,CSLD
2150	lleavitt	WTYD,RESD,CSLD
2150	mhuggard1	WTYD,RESD,CSLD
2150	scarty	WTYD,RESD,CSLD
2152	bmock	WTYD,RESD,CSLD
2152	brountree	WTYD,RESD,CSLD
2152	ccaldwell	WTYD,RESD,CSLD
2152	dwright1	WTYD,RESD,CSLD
2152	enorrell	WTYD,RESD,CSLD
2152	jfelder	WTYD,RESD,CSLD
2152	jhefner	WTYD,RESD,CSLD
2152	kcraig3	WTYD,RESD,CSLD
2152	kmassey1	WTYD,RESD,CSLD
2152	rallen13	WTYD,RESD,CSLD
2152	rezelle	WTYD,RESD,CSLD
2152	scato	WTYD,RESD,CSLD
2152	swallace4	WTYD,RESD,CSLD
2152	tbond1	WTYD,RESD,CSLD
2152	tmcnair1	WTYD,RESD,CSLD
2152	wfreeman3	WTYD,RESD,CSLD
2152	wwardiv	WTYD,RESD,CSLD
2155	blangren1	WTYD,RESD,CSLD
2155	cknutsen	WTYD,RESD,CSLD
2155	dburford2	WTYD,RESD,CSLD
2155	dwhite2	WTYD,RESD,CSLD
2155	gdunham	WTYD,RESD,CSLD
2155	jcrandall	WTYD,RESD,CSLD
2155	jkorman	WTYD,RESD,CSLD
2155	jshipka	WTYD,RESD,CSLD
2155	kchalmers	WTYD,RESD,CSLD
2155	kjones25	WTYD,RESD,CSLD
2155	mdusosky	WTYD,RESD,CSLD
2155	mkiefer1	WTYD,RESD,CSLD
2155	mxiong1	WTYD,RESD,CSLD
2155	nasmus1	WTYD,RESD,CSLD
2155	sduncan2	WTYD,RESD,CSLD
2155	stulgren	WTYD,RESD,CSLD
2155	tcampbell	WTYD,RESD,CSLD
2155	tcarroll3	WTYD,RESD,CSLD
2157	kcarter7	WTYD,RESD,CSLD
2166	jhart	WTYD,RESD,CSLD
2168	cunderwood	RESD,CSLD
2169	bmcconnell	WTYD,RESD
2169	bnimmo1	WTYD,RESD
2169	botremsky	WTYD,RESD
2169	dcamburn	WTYD,RESD
2169	dfischbach	WTYD,RESD
2169	dsullivan4	WTYD,RESD
2169	mippoliti	WTYD,RESD
2169	mpatel2	WTYD,RESD
2169	rparrish2	WTYD,RESD
2169	rszczotka1	WTYD,RESD
2169	skane	WTYD,RESD
2169	zassignmen	WTYD,RESD
2198	ckabrehl	WTYD,RESD,CSLD
2198	fgagermeie	WTYD,RESD,CSLD
2198	jburns12	WTYD,RESD,CSLD
2198	kfreer	WTYD,RESD,CSLD
2198	rmurray	WTYD,RESD,CSLD
2202	bthomas13	WTYD,RESD,CSLD
2202	jwillaman	WTYD,RESD,CSLD
2202	kfockler	WTYD,RESD,CSLD
2202	pconner1	WTYD,RESD,CSLD
2202	wferrone	WTYD,RESD,CSLD
2204	jcabreja1	WTYD,RESD,CSLD
2204	pbohan	WTYD,RESD,CSLD
2204	smollette	WTYD,RESD,CSLD
2204	tphillip21	WTYD,RESD,CSLD
2205	aflores8	WTYD,RESD,CSLD
2205	asalinas1	WTYD,RESD,CSLD
2205	bnelson20	WTYD,RESD,CSLD
2205	gramirez4	WTYD,RESD,CSLD
2205	lwallace1	WTYD,RESD,CSLD
2205	mheinzen	WTYD,RESD,CSLD
2205	mvernon6	WTYD,RESD,CSLD
2205	psimpson6	WTYD,RESD,CSLD
2205	rtincher1	WTYD,RESD,CSLD
2205	sgentry	WTYD,RESD,CSLD
2206	sburton4	WTYD,RESD,CSLD
2206	tfinchum	WTYD,RESD,CSLD
2207	emendez	WTYD,RESD,CSLD
2207	esanchez2	WTYD,RESD,CSLD
2207	givey	WTYD,RESD,CSLD
2207	jfranco6	WTYD,RESD,CSLD
2207	mmarmolejo	WTYD,RESD,CSLD
2207	nnelson	WTYD,RESD,CSLD
2207	rkemp	WTYD,RESD,CSLD
2207	thash	WTYD,RESD,CSLD
2210	cnunez2	WTYD,RESD,CSLD
2216	damor1	WTYD,RESD,CSLD
2220	CLIEBELT	WTYD,RESD,CSLD
2221	bbankert2	WTYD,RESD,CSLD
2221	bkern3	WTYD,RESD,CSLD
2221	bwhite22	WTYD,RESD,CSLD
2221	doday1	WTYD,RESD,CSLD
2221	jlohinjr.	WTYD,RESD,CSLD
2221	jmaddox4	WTYD,RESD,CSLD
2221	mprice14	WTYD,RESD,CSLD
2221	psichau	WTYD,RESD,CSLD
2223	ccrain	WTYD,RESD,CSLD
2223	kscrimshaw	WTYD,RESD,CSLD
2224	aaguirre	WTYD,RESD,CSLD
2224	ateran	WTYD,RESD,CSLD
2224	calexand10	WTYD,RESD,CSLD
2224	cbanks	WTYD,RESD,CSLD
2224	ccutler1	WTYD,RESD,CSLD
2224	cward14	WTYD,RESD,CSLD
2224	czapien	WTYD,RESD,CSLD
2224	daranda1	WTYD,RESD,CSLD
2224	dthiel1	WTYD,RESD,CSLD
